# /lateral_thrust/recceipt_time, /lateral_thrust/data, /thrust/recceipt_time, /thrust/data, /vertical_thrust/recceipt_time, /vertical_thrust/data, /pos_setpoint/recceipt_time, /pos_setpoint/position/x, /pos_setpoint/recceipt_time, /pos_setpoint/position/y, /ground_truth/state/recceipt_time, /ground_truth/state/pose/pose/position/z, /ground_truth/state/recceipt_time, /ground_truth/state/pose/pose/position/y, /ground_truth/state/recceipt_time, /ground_truth/state/pose/pose/position/x, /pos_setpoint/recceipt_time, /pos_setpoint/position/z, /robot_pos/recceipt_time, /robot_pos/position/x, /robot_pos/recceipt_time, /robot_pos/position/y, /robot_pos/recceipt_time, /robot_pos/position/z, /depth/recceipt_time, /depth/data
1607983211.5621726513, 0, 1607983211.5621473789, 0, 1607983211.5621626377, -0.050000000000000002776, 1607983211.5624604225, 1, 1607983211.5624604225, 2, 1607983212.2757160664, -0.69995956639886547368, 1607983212.2757160664, 1, 1607983212.2757160664, 0.49999999919275939231, 1607983211.5624604225, -0.5, 1607983238.0422091484, 0.85058686250248316529, 1607983238.0422091484, 1.186217741292090011, 1607983238.0422091484, -0.63261615813642824158, 1607983212.0935599804, -0.5423511143936903256
1607983211.5777518749, 0, 1607983211.5773775578, 0, 1607983211.5777664185, -0.050000000000000002776, 1607983211.5768978596, 1, 1607983211.5768978596, 2, 1607983212.3460791111, -0.69992845167922812522, 1607983212.3460791111, 1, 1607983212.3460791111, 0.49999999862709360032, 1607983211.5768978596, -0.5, 1607983238.3557286263, 0.72772793153565196178, 1607983238.3557286263, 1.1960996837838591134, 1607983238.3557286263, -0.63100577526983525622, 1607983212.1503617764, -0.58218499507282639449
1607983211.5871272087, 0, 1607983211.5870976448, 0, 1607983211.5871143341, -0.050000000000000002776, 1607983211.5854473114, 1, 1607983211.5854473114, 2, 1607983212.4074239731, -0.69988883208665786384, 1607983212.4074239731, 1, 1607983212.4074239731, 0.49999999795298932792, 1607983211.5854473114, -0.5, 1607983238.842300415, 0.69937234923959756827, 1607983238.842300415, 1.1955335884331779184, 1607983238.842300415, -0.63109800913758551388, 1607983212.1981883049, -0.62665046707388483149
1607983211.6182470322, 0, 1607983211.6182272434, 0, 1607983211.6182408333, -0.050000000000000002776, 1607983211.6177186966, 1, 1607983211.6177186966, 2, 1607983212.458001852, -0.69984088972390467998, 1607983212.458001852, 1, 1607983212.458001852, 0.49999999719286419841, 1607983211.6177186966, -0.5, 1607983239.2163524628, 0.67876999439801832814, 1607983239.2163524628, 1.1971998254044862176, 1607983239.2163524628, -0.63082645762863653882, 1607983212.2423350811, -0.66931899598316302313
1607983211.6243460178, 0, 1607983211.6243252754, 0, 1607983211.6243393421, -0.050000000000000002776, 1607983211.623562336, 1, 1607983211.623562336, 2, 1607983212.5046107769, -0.69978480279396459984, 1607983212.5046107769, 1, 1607983212.5046107769, 0.49999999636789638213, 1607983211.623562336, -0.5, 1607983239.9153957367, 0.67564662800140296017, 1607983239.9153957367, 1.1983803001360282536, 1607983239.9153957367, -0.63063403609224033541, 1607983212.2829415798, -0.70903597479032443029
1607983211.6436667442, 0, 1607983211.6436486244, 0, 1607983211.6436607838, -0.050000000000000002776, 1607983211.6429171562, 1, 1607983211.6429171562, 2, 1607983212.5417125225, -0.699720745683250267, 1607983212.5417125225, 1, 1607983212.5417125225, 0.49999999549789148068, 1607983211.6429171562, -0.5, 1607983240.1791186333, 0.67809733104439151585, 1607983240.1791186333, 1.1991194699592795381, 1607983240.1791186333, -0.63051355063376302024, 1607983212.3267419338, -0.70824877061002200485
1607983211.669778347, 0, 1607983211.6697852612, 0, 1607983211.6697661877, -0.050000000000000002776, 1607983211.6687510014, 1, 1607983211.6687510014, 2, 1607983212.5853176117, -0.69964888904303601525, 1607983212.5853176117, 1, 1607983212.5853176117, 0.49999999460118110806, 1607983211.6687510014, -0.5, 1607983240.8360245228, 0.68614495195628422142, 1607983240.8360245228, 1.2001250246655168485, 1607983240.8360245228, -0.63034968157246262788, 1607983212.3664727211, -0.70836733478748503678
1607983211.6907248497, 0, 1607983211.6907322407, 0, 1607983211.6907069683, -0.050000000000000002776, 1607983211.689507246, 1, 1607983211.689507246, 2, 1607983212.6311187744, -0.69956939986920518848, 1607983212.6311187744, 1, 1607983212.6311187744, 0.4999999936945488388, 1607983211.689507246, -0.5, 1607983241.4764180183, 0.69096182972655373344, 1607983241.4764180183, 1.2007462305838632055, 1607983241.4764180183, -0.63024845304185717065, 1607983212.4043874741, -0.70523453405528446769
1607983211.7125945091, 0, 1607983211.7126026154, 0, 1607983211.7125749588, -0.050000000000000002776, 1607983211.7114889622, 1, 1607983211.7114889622, 2, 1607983212.6814188957, -0.69948244158033878737, 1607983212.6814188957, 1, 1607983212.6814188957, 0.4999999927931816357, 1607983211.7114889622, -0.5, 1607983241.6922588348, 0.69303211102943429456, 1607983241.6922588348, 1.2021922052506697209, 1607983241.6922588348, -0.63001282131224178862, 1607983212.4363274574, -0.70724541276741459406
1607983211.7357132435, 0, 1607983211.7357361317, 0, 1607983211.7357287407, -0.050000000000000002776, 1607983211.7349216938, 1, 1607983211.7349216938, 2, 1607983212.7288458347, -0.69938817409417630699, 1607983212.7288458347, 1, 1607983212.7288458347, 0.4999999919106478119, 1607983211.7349216938, -0.5, 1607983242.0217461586, 0.68988371374585832907, 1607983242.0217461586, 1.2063768248699655583, 1607983242.0217461586, -0.62933089660217711447, 1607983212.4636590481, -0.71019575118055866536
