# /depth/recceipt_time, /depth/data, /depth_setpoint/recceipt_time, /depth_setpoint/data, /vertical_thrust/recceipt_time, /vertical_thrust/data
1606306773.4481985569, -0.24939999999999881708, 1606306773.4241113663, -0.31186176832584489027, 1606306773.4249911308, -0.15348940765005653075
1606306773.4922297001, -0.24859999999999912723, 1606306773.4439446926, -0.31307953092258955508, 1606306773.4444708824, -0.1592083906984909647
1606306773.5368776321, -0.24819999999999969864, 1606306773.4644949436, -0.3143316643852525627, 1606306773.4485449791, -0.15721450712989543108
1606306773.5811476707, -0.24880000000000029869, 1606306773.4839162827, -0.31551967004543801654, 1606306773.4645805359, -0.16423383868363577998
1606306773.6251680851, -0.24860000000000029297, 1606306773.5035195351, -0.31676775567027332103, 1606306773.4838840961, -0.16966817198545142142
1606306773.669645071, -0.24760000000000026432, 1606306773.523958683, -0.31802411416482373463, 1606306773.4926717281, -0.17387164752722311656
1606306773.7129449844, -0.24800000000000058109, 1606306773.543309927, -0.31928804247049347165, 1606306773.5040633678, -0.18204675966521305375
1606306773.7564575672, -0.24880000000000029869, 1606306773.5641477108, -0.32056364719943525321, 1606306773.5239372253, -0.18782209739632288459
1606306773.8013527393, -0.24959999999999998854, 1606306773.5840137005, -0.32184471223071592361, 1606306773.5372684002, -0.19094718898695689502
1606306773.8452625275, -0.25119999999999997886, 1606306773.603089571, -0.32312827580328618016, 1606306773.5435845852, -0.19742485681592153446
1606306773.8928837776, -0.25420000000000003704, 1606306773.6229577065, -0.32442090842804549577, 1606306773.5639202595, -0.20351705733998276537
1606306773.9343495369, -0.25599999999999967226, 1606306773.6431083679, -0.32572961505492081802, 1606306773.5820949078, -0.20362393656835914291
1606306773.9785852432, -0.25859999999999938591, 1606306773.6630339622, -0.32704710993789920526, 1606306773.5839772224, -0.21056658239138653643
1606306774.0230717659, -0.26159999999999944409, 1606306773.6828417778, -0.32836865610143439742, 1606306773.6038758755, -0.21667920529839962418
1606306774.0670015812, -0.26479999999999914717, 1606306773.7028326988, -0.32970723707535476432, 1606306773.6233286858, -0.22283249986216840943
1606306774.1117899418, -0.26759999999999939391, 1606306773.7233452797, -0.33105829689486909739, 1606306773.6257045269, -0.2273835012806016409
1606306774.1572060585, -0.27119999999999910845, 1606306773.7434639931, -0.33240817793946353387, 1606306773.6431908607, -0.23340643673104694011
1606306774.2009525299, -0.27439999999999942215, 1606306773.7627019882, -0.33376133873545310582, 1606306773.6638703346, -0.23947603529899724739
1606306774.2452263832, -0.27799999999999908118, 1606306773.7825417519, -0.33512613084467779423, 1606306773.6698727608, -0.2445428025574603037
1606306774.2894184589, -0.28019999999999944951, 1606306773.8025567532, -0.33649627228009865165, 1606306773.6831240654, -0.2519711501639952389
1606306774.3333628178, -0.28359999999999940812, 1606306773.8226926327, -0.33788658971673540821, 1606306773.7045042515, -0.25836728020878280132
1606306774.377979517, -0.28720000000000001084, 1606306773.8439581394, -0.33929811064860249115, 1606306773.7133479118, -0.25921532655635620701
1606306774.4223475456, -0.29099999999999970335, 1606306773.8640844822, -0.34068977525323923539, 1606306773.7238123417, -0.2661442592093547499
1606306774.4671239853, -0.29480000000000000648, 1606306773.8840520382, -0.34211660936810267541, 1606306773.7434270382, -0.27276765889044468638
1606306774.5112013817, -0.30120000000000024531, 1606306773.9037988186, -0.34351504612323618959, 1606306773.7569832802, -0.27252677949533005153
1606306774.5552024841, -0.30499999999999999334, 1606306773.9240558147, -0.34493448493598682925, 1606306773.7631466389, -0.28059459562130179
1606306774.599344492, -0.30919999999999969731, 1606306773.9440085888, -0.34638414584050364331, 1606306773.7832398415, -0.28696958716434223247
1606306774.6440832615, -0.31359999999999998987, 1606306773.9642577171, -0.3478167836392842549, 1606306773.8022174835, -0.28644010945571934945
1606306774.6884818077, -0.31859999999999999432, 1606306773.9829983711, -0.34923960859696873138, 1606306773.802955389, -0.2947649653850365481
1606306774.7391541004, -0.32279999999999969829, 1606306774.00400877, -0.35068873534375516465, 1606306773.8233089447, -0.30102246634820556404
1606306774.7767333984, -0.33040000000000030456, 1606306774.023900032, -0.35216014514675592073, 1606306773.8439173698, -0.30735912972441553626
1606306774.8208446503, -0.3380000000000003002, 1606306774.0438451767, -0.35363018387780165153, 1606306773.8457727432, -0.30662602241424891103
1606306774.8664610386, -0.34300000000000030465, 1606306774.0635945797, -0.35508697410828538032, 1606306773.8641533852, -0.31271988739724271289
1606306774.9102165699, -0.34880000000000055405, 1606306774.0846710205, -0.35658999347253206302, 1606306773.8842954636, -0.31892773901815990589
1606306774.9546484947, -0.35560000000000091536, 1606306774.1040349007, -0.35805122152800994417, 1606306773.893345356, -0.31097535827430394795
1606306774.9990212917, -0.36160000000000086517, 1606306774.1230437756, -0.35953968408862302386, 1606306773.9036927223, -0.31946949607874280952
1606306775.0421836376, -0.36760000000000081499, 1606306774.1427419186, -0.36102636909303875701, 1606306773.923789978, -0.32505712188857111
1606306775.0861029625, -0.3756000000000008221, 1606306774.1631495953, -0.36254927800228492485, 1606306773.9349086285, -0.32032776277332636328
1606306775.131677866, -0.38280000000000058424, 1606306774.1829090118, -0.36404850646648595491, 1606306773.9439432621, -0.32986415266739793628
1606306775.175080061, -0.38860000000000027853, 1606306774.202783823, -0.36555507660760361288, 1606306773.9644100666, -0.3349732548161764023
1606306775.2197782993, -0.39360000000000028297, 1606306774.2229688168, -0.36707326252687755286, 1606306773.979174614, -0.32717572531621269549
1606306775.2632811069, -0.39940000000000031033, 1606306774.2431688309, -0.36860468486966690982, 1606306773.9832115173, -0.33503067449358886476
